Rouge-L-P,Rouge-L-R,Rouge-L-F,Rouge-2-P,Rouge-2-R,Rouge-2-F
0.4058499081336447,0.13669074704719428,0.13669074704719428,0.26537359579098385,0.08559535489462403,0.08559535489462403
0.40672618516707554,0.13702252832626272,0.13702252832626272,0.2655933051813981,0.08571152008095687,0.08571152008095687
0.40852721813129006,0.13761628852709504,0.13761628852709504,0.26680596929465744,0.08609891006387002,0.08609891006387002
0.4092020012356143,0.13771359121826351,0.13771359121826351,0.26681423618398437,0.0859939786749481,0.0859939786749481
0.4101582108851805,0.13786374764591255,0.13786374764591255,0.2671579784440497,0.08595769231991954,0.08595769231991954
0.41036546572967647,0.1377540409208491,0.1377540409208491,0.2669606083398004,0.08575053984664754,0.08575053984664754
0.41188591924294504,0.13830389587371508,0.13830389587371508,0.26804703670512514,0.08613860083819622,0.08613860083819622
0.4131945237409347,0.1388386979283394,0.1388386979283394,0.2689987256851803,0.0865172928387145,0.0865172928387145
0.41443209835322103,0.13932382292872592,0.13932382292872592,0.2698046147257379,0.08682368700148463,0.08682368700148463
0.4158616049792517,0.13975865679446192,0.13975865679446192,0.2709511273481863,0.0871663862880141,0.0871663862880141
0.4171684258639349,0.14020641039826956,0.14020641039826956,0.27190801648456603,0.08750296594442696,0.08750296594442696
0.418393720773991,0.1406635003501394,0.1406635003501394,0.27288192524983274,0.08784879480078393,0.08784879480078393
0.419592144325116,0.1410818685239501,0.1410818685239501,0.2736977704528016,0.08814178223435619,0.08814178223435619
0.4199635510837551,0.14112905390920613,0.14112905390920613,0.27346676682226567,0.08796640502120016,0.08796640502120016
0.4205488189267342,0.14133241896051527,0.14133241896051527,0.2735978657498689,0.08803138900168961,0.08803138900168961
0.4219652778231203,0.1417312848835485,0.1417312848835485,0.27450445021711994,0.0882731305632282,0.0882731305632282
0.4229233178890451,0.1420204153809914,0.1420204153809914,0.27513956901357206,0.0884402481606108,0.0884402481606108
0.42381293604785875,0.14232334809653094,0.14232334809653094,0.2756410972451507,0.08858984934769358,0.08858984934769358
0.42501125664912354,0.14274870551475433,0.14274870551475433,0.2765737507998537,0.08891427299102302,0.08891427299102302
0.4262112469580864,0.14318904466971952,0.14318904466971952,0.27760485200264,0.08927214056120238,0.08927214056120238
0.42731533808257477,0.1435318271699372,0.1435318271699372,0.27851265015922677,0.08955181743833156,0.08955181743833156
0.428336800228837,0.143927949603579,0.143927949603579,0.2793805600584653,0.08987477073161453,0.08987477073161453
0.42947116444329403,0.14431061598157305,0.14431061598157305,0.2804562456044903,0.0902162342658977,0.0902162342658977
0.4305195407860111,0.144665764348682,0.144665764348682,0.2813908740279327,0.09051012912047443,0.09051012912047443
0.4312801122132353,0.1451215476085787,0.1451215476085787,0.28198508327184785,0.09098957151461608,0.09098957151461608
0.43197246567441094,0.1451018204165907,0.1451018204165907,0.2822492614688074,0.09089081708639583,0.09089081708639583
0.4326960925231836,0.14528166075682286,0.14528166075682286,0.2824528882703284,0.09090800767949758,0.09090800767949758
0.4333287873523853,0.14549747256464834,0.14549747256464834,0.28268658065853675,0.09097957417177954,0.09097957417177954
0.4342280627868865,0.1457793300409117,0.1457793300409117,0.28312451801592065,0.09110956345062715,0.09110956345062715
0.43510013778817125,0.14610872688208698,0.14610872688208698,0.2836443151968521,0.0913120508796284,0.0913120508796284
0.4359940135374631,0.1463816830760021,0.1463816830760021,0.284076686583371,0.09143755186100976,0.09143755186100976
0.43658380497334537,0.146582733458636,0.146582733458636,0.28424951970728163,0.09148955801918379,0.09148955801918379
0.43744538068506506,0.14684708505791436,0.14684708505791436,0.28470345099734906,0.09162740843512496,0.09162740843512496
0.43863877728420253,0.14750325937805436,0.14750325937805436,0.2856686106195909,0.09223584622032985,0.09223584622032985
0.43940516603254537,0.14795329600580018,0.14795329600580018,0.2861359457655953,0.0926475222948197,0.0926475222948197
0.43995490852833097,0.1482092927542956,0.1482092927542956,0.2862593837749483,0.09276185645904528,0.09276185645904528
0.44056140890699746,0.14851628644559128,0.14851628644559128,0.28646764910991246,0.0928997973350779,0.0928997973350779
0.44154428634327103,0.1489496051467972,0.1489496051467972,0.2871760867148086,0.09319453699401335,0.09319453699401335
0.4424656036657091,0.14934619884820938,0.14934619884820938,0.28788820545700783,0.09347691997080348,0.09347691997080348
0.44360886864954485,0.14977682929423455,0.14977682929423455,0.28898704862096586,0.09383054037840141,0.09383054037840141
0.4443041754687367,0.1500754646354643,0.1500754646354643,0.2895657964998269,0.09405709476297835,0.09405709476297835
0.4446321496388345,0.15023123632941815,0.15023123632941815,0.28952061187818057,0.09409144246866707,0.09409144246866707
0.445492571607768,0.15055065508499219,0.15055065508499219,0.29038535096439483,0.09436431451048001,0.09436431451048001
0.4461009296090436,0.15081778577840793,0.15081778577840793,0.29087650415845107,0.0945625496231351,0.0945625496231351
0.44704276417914646,0.15119968450628807,0.15119968450628807,0.29165226862849714,0.09484851084241627,0.09484851084241627
0.4476166633819698,0.151424909574212,0.151424909574212,0.2921288798569707,0.09503030322634297,0.09503030322634297
0.448099375948641,0.15167171541443292,0.15167171541443292,0.29240264769676494,0.09519109853884333,0.09519109853884333
0.44867455399581374,0.15187466446356657,0.15187466446356657,0.292716069954522,0.09531785498755153,0.09531785498755153
0.44940334828570166,0.15213188682663364,0.15213188682663364,0.29320251105104006,0.0954968508168004,0.0954968508168004
